sqft_living,price
1430 ,310000 
2950 ,650000 
1710 ,233000 
2320 ,580500 
1090 ,535000 
2620 ,605000 
4220 ,775000 
2250 ,292500 
1260 ,289000 
2750 ,571000 
1790 ,349000 
1900 ,360000 
1980 ,243500 
1960 ,247500 
2030 ,470000 
3230 ,480000 
2910 ,770000 
1170 ,519950 
2820 ,527700 
1060 ,420000 
2550 ,890000 
1250 ,282950 
2060 ,255000 
2020 ,420000 
2680 ,807100 
1560 ,284000 
3880 ,917500 
1120 ,425000 
1670 ,260000 
1940 ,297000 
910 ,274250 
2480 ,840000 
2440 ,677900 
850 ,280000 
1750 ,279950 
1510 ,479950 
1720 ,264950 
3760 ,1030000 
3650 ,2400000 
1810 ,260000 
2100 ,525000 
760 ,369900 
1700 ,210000 
2600 ,304900 
860 ,170000 
3830 ,2050000 
3500 ,780000 
2420 ,330000 
2160 ,360000 
1970 ,550000 
2040 ,208633 
2200 ,315000 
4290 ,1380000 
4290 ,1400000 
1470 ,548000 
2030 ,520000 
1450 ,230000 
1240 ,232000 
2050 ,740000 
1070 ,640000 
2490 ,940000 
2930 ,559900 
1420 ,265000 
2500 ,425000 
2580 ,552250 
1390 ,206600 
560 ,299000 
2270 ,855000 
990 ,437500 
1750 ,420000 
3040 ,795000 
3520 ,810000 
2090 ,338000 
2180 ,315000 
1640 ,450000 
2510 ,799000 
2120 ,403950 
1980 ,490000 
1600 ,330000 
3300 ,927000 
2720 ,530000 
940 ,352000 
1820 ,322500 
1510 ,650000 
2390 ,339000 
2910 ,570000 
2200 ,423000 
950 ,482000 
2350 ,1300000 
4040 ,988000 
2610 ,1000000 
1250 ,350000 
940 ,205000 
1220 ,333500 
1240 ,255000 
2570 ,348000 
1850 ,325000 
2270 ,340500 
1610 ,290900 
630 ,315000 
4860 ,1390000 
1580 ,452000 
1680 ,370000 
2110 ,725000 
1490 ,625000 
2770 ,1200000 
1330 ,240000 
1330 ,290000 
4760 ,2250000 
1190 ,288000 
6050 ,1600000 
1040 ,204000 
1610 ,358000 
1970 ,346900 
5403 ,2130000 
2320 ,318888 
4380 ,1450000 
750 ,261000 
2230 ,460000 
1180 ,610000 
